"","id","measurer","measurer_name","project","project_name","date","measure_date","status","comment","datastatus","dataorigname","fieldstatus","fieldorigname","siteids","errors","processed","valid"
"13",1326,14,"jgarciapausas",1,"HoliSoils","2024-09-25T10:20:50.648960Z","2024-07-25","submitted","Secanella","undetermined","2024-07-25_Secanella_EGM5.TXT","invalid","2024-07-25_Secanella_EGM5.xlsx","","Fieldform read error: row 112 has duration < 30 seconds ",TRUE,FALSE
"14",1833,45,"msantonja",1,"HoliSoils","2024-10-29T14:55:24.470541Z","2023-01-01","retracted","Saint-Mitre","valid","2022-05-16_st_mitre_egm5_01.TXT","valid","2022-05-16_st_mitre_egm5_01.xlsx","Saint Mitre","",TRUE,TRUE
"15",1479,40,"cpetritan",1,"HoliSoils","2024-10-02T19:23:37.470098Z","2023-04-13","retracted","Dumbravita","valid","2023-04-13_dumbravita_egm5_01.TXT","valid","2023-04-13_dumbravita_egm5_01.xlsx","Dumbravita","",TRUE,TRUE
"16",1985,45,"msantonja",1,"HoliSoils","2024-10-31T13:23:43.681680Z","2024-05-03","retracted","St Christol","valid","2023-09-26_st_christol_egm5_02.TXT","valid","2023-09-26_st_christol_egm5_02.xlsx","St Christol","",TRUE,TRUE
"17",1591,19,"spulkka",1,"HoliSoils","2024-10-08T11:15:45.920526Z","2024-10-02","submitted","Ränskälänkorpi","valid","2024-10-02_ranskalankorpi_licor_tg20-01033.txt","valid","2024-10-02_ranskalankorpi_licor_tg20-01033.xlsx","Ränskälänkorpi","",TRUE,TRUE
"18",1909,45,"msantonja",1,"HoliSoils","2024-10-29T19:33:06.105405Z","2024-01-24","submitted","Saint-Mitre","undetermined","2024-01-24_st_mitre_egm5_02.TXT","valid","2024-01-24_st_mitre_egm5_02.xlsx","","",FALSE,TRUE
"19",1983,45,"msantonja",1,"HoliSoils","2024-10-31T12:56:43.275932Z","2024-05-03","retracted","St Christol","valid","2024-05-03_st_christol_egm5_01.TXT","valid","2024-05-03_st_christol_egm5_01.xlsx","St Christol","",TRUE,TRUE
"20",1986,45,"msantonja",1,"HoliSoils","2024-10-31T13:28:52.839020Z","2024-05-03","retracted","St Christol","valid","2024-05-03_st_christol_egm5_03.TXT","valid","2024-05-03_st_christol_egm5_03.xlsx","St Christol","",TRUE,TRUE
"21",1987,45,"msantonja",1,"HoliSoils","2024-10-31T13:30:42.631712Z","2024-05-03","retracted","St Christol","valid","2024-05-03_st_christol_egm5_02.TXT","valid","2024-05-03_st_christol_egm5_02.xlsx","St Christol","",TRUE,TRUE
"22",1988,45,"msantonja",1,"HoliSoils","2024-10-31T13:42:41.160491Z","2024-05-03","retracted","St Christol","valid","2024-05-03_st_christol_egm5_04.TXT","valid","2024-05-03_st_christol_egm5_04.xlsx","St Christol","",TRUE,TRUE
